007579,Blue,Yamaha,TTR230,2007,Trail Bike,2011-07-14,Bay of Plenty
1045Z,Orange,Trailer,HOMEMADE,1972,Trailer,2011-11-07,Eastern
1079Y,Silver,Trailer,ABEL K8SSA,2001,Trailer,2011-07-14,Waitemata
10ZRB,Green,Kawasaki,EX,2008,Roadbike,2011-12-11,Waikato
115AT,Silver,Trailer,PRESCOT,2002,Trailer,2011-07-13,Waikato
1182N,Black,Trailer,BOAT,1989,Boat Trailer,2011-12-05,Wellington
11ZHJ,Blue,Yamaha,VINO,2000,Moped,2011-11-20,Auckland City
11ZJL,Silver,Yamaha,CV 50,2008,Moped,2011-10-17,Waikato
120B,Red,Trailer,HOMEMADE,1996,Trailer,2011-09-19,Central
1246A,Green,Pinto,COMMERCIAL,1995,Trailer,2011-11-23,Auckland City
1258G,Grey,Trailer,LOCAL,1997,Trailer,2011-11-16,Bay of Plenty
12NJA,Green,Trailer,LOCAL,1984,Trailer,2011-11-28,Counties/Manukau
12UWZ,Green,John Deere,17810,2003,Tractor,2011-08-16,Eastern
1357N,Brown,Trailer,HOMEMADE,1962,Trailer - Heavy,2011-09-07,Auckland City
13ZGJ,Black,Yamaha,XC50W,2008,Moped,2011-08-25,Canterbury
14UH,Silver,Trailer,LOCAL,1973,Trailer,2011-08-12,Waikato
14YRT,Silver,Moped,BT49QTB5,2007,Moped,2011-08-06,Bay of Plenty
1530J,Red,Trailer,HOME-MADE,1986,Trailer,2011-10-13,Southern
1567U,Grey,Trailer,BOAT,2000,Boat Trailer,2011-09-06,Canterbury
159NN,Grey,Trailer,SILCRED,1970,Trailer,2011-08-30,Waitemata
15QGE,White,Trailer,T39,1960,Trailer - Heavy,2011-10-28,Eastern
15QQS,Red,Honda,NQ50MG,1987,Moped,2011-11-11,Wellington
16UKW,Black,Honda,SK50,2001,Moped,2011-09-24,Wellington
16WRR,Black,Honda,ZXDIO,1996,Moped,2011-08-20,Central
16YNN,Black,Factory Built,DEFOULT,2007,Roadbike,2011-10-19,Auckland City
16ZML,Silver,Honda,SCV,2008,Roadbike,2011-10-10,Wellington
1708Z,Green,Trailer,HOMEBUILT,1990,Trailer,2011-08-03,Eastern
1724E,Purple,Kea,K744E,1996,Trailer,2011-08-11,Northland
174A,Pink,Homebuilt,DOMESTIC TRAILER,1995,Trailer,2011-11-28,Bay of Plenty
1797W,Grey,Homebuilt,BRENT SMITH TRAILERS,1996,Trailer,2011-12-06,Central
17HNL,White,Trailer,PINTO,1980,Trailer,2011-12-19,Northland
17PRQ,Grey,Homebuilt,MISC,1987,Trailer,2011-08-30,Waikato
17YWG,Grey,Suzuki,UZ,2007,Roadbike,2011-07-25,Wellington
17ZSA,Blue,Moped,VMOTO MILAN,2009,Moped,2011-11-04,Auckland City
1806J,Blue,Trailer,HOMEBUILT,1989,Trailer,2011-09-30,Central
1884R,Silver,Pinto,WELLSIDE,2000,Trailer,2011-09-21,Bay of Plenty
18REB,Red,Honda,CX500,1984,Roadbike,2011-08-03,Bay of Plenty
18YGT,Silver,Yamaha,CV50,2006,Moped,2011-11-21,Waitemata
18ZMW,Green,Triumph,STREET TRIPLE,2008,Roadbike,2011-06-28,Auckland City
18ZPF,Black,Moped,VMOTO MILAN,2008,Moped,2011-09-06,Auckland City
18ZWM,Blue,Yamaha,WR,2005,Roadbike,2011-11-09,Northland
18ZZP,Silver,Yamaha,CV50,2008,Moped,2011-06-22,Auckland City
1928Y,Silver,Factory Built,BRENT SMITH TRAILERS,2001,Trailer,2011-10-20,Eastern
1998,White,Suzuki,DR350,0,Trail Bike,2011-07-11,Southern
19NLX,Black,Suzuki,GN 250,1984,Roadbike,2011-12-16,Wellington
19RNL,Silver,Yamaha,FZ750U,1988,Roadbike,2011-11-15,Counties/Manukau
19WRF,Red,Suzuki,GN250,2005,Roadbike,2011-11-22,Waikato
19YBC,Grey,Honda,CBR,1999,Roadbike,2011-11-06,Counties/Manukau
